source_id,target_id,value
汉密尔顿公园,纽波特PATH站,12289.0
汉密尔顿公园,纽瓦克大道,7305.0
汉密尔顿公园,市政厅,3693.0
汉密尔顿公园,汉密尔顿公园,8092.0
汉密尔顿公园,保罗斯胡克,2908.0
汉密尔顿公园,格罗夫街PATH站,37366.0
汉密尔顿公园,马林轻轨,1818.0
汉密尔顿公园,哥伦布大道,2324.0
汉密尔顿公园,港岸边,3605.0
汉密尔顿公园,华盛顿广场,1912.0
汉密尔顿公园,哥伦布大道与交易所广场交汇处,1631.0
汉密尔顿公园,泽西市医疗中心,1820.0
汉密尔顿公园,格兰德街,1119.0
汉密尔顿公园,布伦斯威克街,1981.0
汉密尔顿公园,泽西街与第三街交汇处,5468.0
汉密尔顿公园,霍博肯大道与蒙茅斯街交汇处,1013.0
汉密尔顿公园,马尼拉街与第一街交汇处,9735.0
汉密尔顿公园,布伦斯威克街与第6街交汇处,1795.0
汉密尔顿公园,泽西街与第6街交汇处,1400.0
保罗斯胡克,沃伦街,2189.0
保罗斯胡克,交易所广场,2250.0
保罗斯胡克,纽波特公园道,3069.0
保罗斯胡克,埃塞克斯轻轨,1526.0
保罗斯胡克,范福斯特公园,1622.0
保罗斯胡克,自由轻轨,2508.0
保罗斯胡克,纽波特PATH站,3341.0
保罗斯胡克,纽瓦克大道,1240.0
保罗斯胡克,市政厅,2354.0
保罗斯胡克,汉密尔顿公园,2731.0
保罗斯胡克,保罗斯胡克,4749.0
保罗斯胡克,格罗夫街PATH站,2923.0
保罗斯胡克,莫里斯运河,4978.0
保罗斯胡克,马林轻轨,4012.0
保罗斯胡克,哥伦布大道,2456.0
保罗斯胡克,港岸边,1829.0
保罗斯胡克,华盛顿广场,2091.0
保罗斯胡克,哥伦布大道与交易所广场交汇处,1336.0
保罗斯胡克,泽西市医疗中心,1396.0
保罗斯胡克,格兰德街,1055.0
格罗夫街PATH站,沃伦街,3888.0
格罗夫街PATH站,交易所广场,2346.0
格罗夫街PATH站,纽波特公园道,3036.0
格罗夫街PATH站,埃塞克斯轻轨,3627.0
格罗夫街PATH站,范福斯特公园,12976.0
格罗夫街PATH站,自由轻轨,12135.0
格罗夫街PATH站,纽波特PATH站,3534.0
格罗夫街PATH站,纽瓦克大道,5117.0
格罗夫街PATH站,市政厅,3969.0
格罗夫街PATH站,汉密尔顿公园,28233.0
格罗夫街PATH站,保罗斯胡克,2303.0
格罗夫街PATH站,格罗夫街PATH站,7031.0
格罗夫街PATH站,莫里斯运河,5903.0
格罗夫街PATH站,马林轻轨,18859.0
格罗夫街PATH站,哥伦布大道,1657.0
格罗夫街PATH站,港岸边,3525.0
格罗夫街PATH站,麦金利广场,1184.0
格罗夫街PATH站,华盛顿广场,1458.0
格罗夫街PATH站,哥伦布大道与交易所广场交汇处,1453.0
格罗夫街PATH站,泽西市医疗中心,10260.0
格罗夫街PATH站,格兰德街,2562.0
格罗夫街PATH站,布伦斯威克街,16732.0
格罗夫街PATH站,康尼帕和贝里巷,2565.0
格罗夫街PATH站,拉法叶公园,6757.0
格罗夫街PATH站,泽西街与第三街交汇处,8498.0
格罗夫街PATH站,霍博肯大道与蒙茅斯街交汇处,1061.0
格罗夫街PATH站,马尼拉街与第一街交汇处,1341.0
格罗夫街PATH站,布伦斯威克街与第6街交汇处,13413.0
格罗夫街PATH站,蒙哥马利街,4193.0
格罗夫街PATH站,鲍德温街与蒙哥马利街交汇处,4408.0
格罗夫街PATH站,蒙茅斯街与第六街交汇处,12867.0
格罗夫街PATH站,泽西街与第6街交汇处,11569.0
格罗夫街PATH站,迪克森米尔斯,16214.0
格罗夫街PATH站,纽约车站,1637.0
莫里斯运河,沃伦街,1931.0
莫里斯运河,交易所广场,14081.0
莫里斯运河,纽波特公园道,1759.0
莫里斯运河,埃塞克斯轻轨,1542.0
莫里斯运河,自由轻轨,1007.0
莫里斯运河,纽波特PATH站,2572.0
莫里斯运河,市政厅,1854.0
莫里斯运河,保罗斯胡克,6235.0
莫里斯运河,格罗夫街PATH站,5923.0
莫里斯运河,莫里斯运河,6206.0
莫里斯运河,马林轻轨,1923.0
莫里斯运河,哥伦布大道,2534.0
莫里斯运河,港岸边,1843.0
莫里斯运河,华盛顿广场,1140.0
莫里斯运河,哥伦布大道与交易所广场交汇处,6178.0
莫里斯运河,泽西市医疗中心,1122.0
莫里斯运河,格兰德街,1100.0
马林轻轨,沃伦街,2312.0
马林轻轨,交易所广场,3361.0
马林轻轨,纽波特公园道,1891.0
马林轻轨,埃塞克斯轻轨,3022.0
马林轻轨,范福斯特公园,1726.0
马林轻轨,自由轻轨,2451.0
马林轻轨,纽波特PATH站,2796.0
马林轻轨,纽瓦克大道,2010.0
马林轻轨,市政厅,3810.0
马林轻轨,汉密尔顿公园,1715.0
马林轻轨,保罗斯胡克,4319.0
马林轻轨,格罗夫街PATH站,20293.0
马林轻轨,莫里斯运河,1517.0
马林轻轨,马林轻轨,10604.0
马林轻轨,哥伦布大道,2100.0
马林轻轨,港岸边,2513.0
马林轻轨,华盛顿广场,2008.0
马林轻轨,哥伦布大道与交易所广场交汇处,3198.0
马林轻轨,泽西市医疗中心,1680.0
马林轻轨,格兰德街,1339.0
马林轻轨,马尼拉街与第一街交汇处,1037.0
哥伦布大道,沃伦街,3314.0
哥伦布大道,交易所广场,1498.0
哥伦布大道,纽波特公园道,3750.0
哥伦布大道,埃塞克斯轻轨,2293.0
哥伦布大道,范福斯特公园,1089.0
哥伦布大道,纽波特PATH站,4010.0
哥伦布大道,纽瓦克大道,1247.0
哥伦布大道,市政厅,1008.0
哥伦布大道,汉密尔顿公园,2188.0
哥伦布大道,保罗斯胡克,2184.0
哥伦布大道,格罗夫街PATH站,2044.0
哥伦布大道,莫里斯运河,2607.0
哥伦布大道,马林轻轨,2507.0
哥伦布大道,哥伦布大道,5301.0
哥伦布大道,港岸边,2059.0
哥伦布大道,华盛顿广场,2431.0
哥伦布大道,哥伦布大道与交易所广场交汇处,1130.0
哥伦布大道,泽西市医疗中心,1003.0
哥伦布大道,格兰德街,1228.0
港岸边,沃伦街,2230.0
港岸边,交易所广场,2011.0
港岸边,纽波特公园道,5032.0
港岸边,范福斯特公园,1070.0
港岸边,自由轻轨,1706.0
港岸边,纽波特PATH站,10003.0
港岸边,纽瓦克大道,1445.0
港岸边,市政厅,1610.0
港岸边,汉密尔顿公园,3343.0
港岸边,保罗斯胡克,2202.0
港岸边,格罗夫街PATH站,4063.0
港岸边,莫里斯运河,1651.0
港岸边,马林轻轨,2320.0
港岸边,哥伦布大道,1779.0
港岸边,港岸边,6930.0
港岸边,华盛顿广场,2417.0
港岸边,哥伦布大道与交易所广场交汇处,7907.0
港岸边,格兰德街,1302.0
港岸边,泽西街与第三街交汇处,1400.0
伦纳德·戈登公园,西普大道,1656.0
伦纳德·戈登公园,伦纳德·戈登公园,1214.0
伦纳德·戈登公园,新闻广场,3480.0
新闻广场,波什林菲尔德,3577.0
新闻广场,奥克兰大道,3871.0
新闻广场,伦纳德·戈登公园,3003.0
新闻广场,新闻广场,1003.0
新闻广场,基督医院,1037.0
新闻广场,迪街,4103.0
伯根大道,西普大道,9588.0
伯根大道,伯根大道,1099.0
伯根大道,伯根大道 & 西普大道,1275.0
伯根大道 & 西普大道,伯根大道,1185.0
伯根大道 & 西普大道,麦金利广场,1730.0
伯根大道 & 西普大道,费尔蒙特大道,1116.0
麦金利广场,西普大道,22326.0
麦金利广场,格罗夫街PATH站,1659.0
麦金利广场,新闻广场,1275.0
麦金利广场,伯根大道,1654.0
麦金利广场,伯根大道 & 西普大道,2085.0
麦金利广场,麦金利广场,1966.0
麦金利广场,林肯公园,1114.0
麦金利广场,鲍德温街与蒙哥马利街交汇处,1205.0
麦金利广场,阿斯特广场,1738.0
费尔蒙特大道,西普大道,7494.0
费尔蒙特大道,伯根大道 & 西普大道,1278.0
华盛顿广场,沃伦街,1552.0
华盛顿广场,交易所广场,1015.0
华盛顿广场,纽波特公园道,4685.0
华盛顿广场,埃塞克斯轻轨,1089.0
华盛顿广场,纽波特PATH站,6200.0
华盛顿广场,纽瓦克大道,1170.0
华盛顿广场,市政厅,1054.0
华盛顿广场,汉密尔顿公园,1957.0
华盛顿广场,保罗斯胡克,1972.0
华盛顿广场,格罗夫街PATH站,1936.0
华盛顿广场,莫里斯运河,1226.0
华盛顿广场,马林轻轨,1746.0
华盛顿广场,哥伦布大道,2015.0
华盛顿广场,港岸边,2792.0
华盛顿广场,华盛顿广场,5582.0
华盛顿广场,哥伦布大道与交易所广场交汇处,2179.0
华盛顿广场,格兰德街,1694.0
哥伦布大道与交易所广场交汇处,沃伦街,2177.0
哥伦布大道与交易所广场交汇处,纽波特公园道,3292.0
哥伦布大道与交易所广场交汇处,埃塞克斯轻轨,2009.0
哥伦布大道与交易所广场交汇处,自由轻轨,1820.0
哥伦布大道与交易所广场交汇处,纽波特PATH站,2302.0
哥伦布大道与交易所广场交汇处,市政厅,1023.0
哥伦布大道与交易所广场交汇处,汉密尔顿公园,1245.0
哥伦布大道与交易所广场交汇处,保罗斯胡克,1325.0
哥伦布大道与交易所广场交汇处,格罗夫街PATH站,1989.0
哥伦布大道与交易所广场交汇处,莫里斯运河,4897.0
哥伦布大道与交易所广场交汇处,马林轻轨,3041.0
哥伦布大道与交易所广场交汇处,哥伦布大道,1218.0
哥伦布大道与交易所广场交汇处,港岸边,6786.0
哥伦布大道与交易所广场交汇处,华盛顿广场,2112.0
哥伦布大道与交易所广场交汇处,哥伦布大道与交易所广场交汇处,4311.0
哥伦布大道与交易所广场交汇处,格兰德街,1260.0
泽西市医疗中心,沃伦街,1356.0
泽西市医疗中心,纽波特公园道,1370.0
泽西市医疗中心,埃塞克斯轻轨,1056.0
泽西市医疗中心,范福斯特公园,1262.0
泽西市医疗中心,自由轻轨,2373.0
泽西市医疗中心,纽波特PATH站,1095.0
泽西市医疗中心,纽瓦克大道,1865.0
泽西市医疗中心,市政厅,2985.0
泽西市医疗中心,汉密尔顿公园,1803.0
泽西市医疗中心,保罗斯胡克,1678.0
泽西市医疗中心,格罗夫街PATH站,9903.0
泽西市医疗中心,马林轻轨,1756.0
泽西市医疗中心,泽西市医疗中心,8932.0
格兰德街,沃伦街,1359.0
格兰德街,纽波特公园道,1540.0
格兰德街,纽波特PATH站,2215.0
格兰德街,纽瓦克大道,1007.0
格兰德街,市政厅,1430.0
格兰德街,汉密尔顿公园,1028.0
格兰德街,格罗夫街PATH站,3124.0
格兰德街,马林轻轨,1426.0
格兰德街,哥伦布大道,1909.0
格兰德街,港岸边,1329.0
格兰德街,华盛顿广场,1798.0
格兰德街,哥伦布大道与交易所广场交汇处,1637.0
格兰德街,格兰德街,2660.0
克林顿街与第7街交汇处,霍博肯终点站-瑞弗街与哈德逊广场交汇处,1588.0
克林顿街与第7街交汇处,霍博肯终点站-哈德逊街与哈德逊广场交汇处,1416.0
克林顿街与第7街交汇处,市政厅-华盛顿广场与第1街交汇处,1002.0
市政厅-华盛顿广场与第1街交汇处,第8街与华盛顿街交汇处,1095.0
市政厅-华盛顿广场与第1街交汇处,市政厅-华盛顿广场与第1街交汇处,1311.0
市政厅-华盛顿广场与第1街交汇处,哥伦布公园-克林顿街与9街交汇处,1078.0
市政厅-华盛顿广场与第1街交汇处,第11街与华盛顿广场交汇处,1240.0
市政厅-华盛顿广场与第1街交汇处,麦迪逊街与第1街交汇处,1930.0
市政厅-华盛顿广场与第1街交汇处,西南公园-杰克逊街与观察者高速公路交汇处,1187.0
市政厅-华盛顿广场与第1街交汇处,霍博肯大道与蒙茅斯街交汇处,1499.0
市政厅-华盛顿广场与第1街交汇处,马歇尔街与第2街交汇处,1136.0
南滨水步道-辛纳特拉大道与1街交汇处,9街HBLR-杰克逊街与8街交汇处,1058.0
南滨水步道-辛纳特拉大道与1街交汇处,霍博肯终点站-瑞弗街与哈德逊广场交汇处,1231.0
第7街与门罗街交汇处,霍博肯终点站-瑞弗街与哈德逊广场交汇处,1550.0
南滨水步道-辛纳特拉大道与1街交汇处,第8街与华盛顿街交汇处,1965.0
第7街与门罗街交汇处,霍博肯终点站-哈德逊街与哈德逊广场交汇处,1916.0
南滨水步道-辛纳特拉大道与1街交汇处,纽波特公园道,1930.0
南滨水步道-辛纳特拉大道与1街交汇处,克林顿街与第7街交汇处,1088.0
南滨水步道-辛纳特拉大道与1街交汇处,第7街与门罗街交汇处,1184.0
南滨水步道-辛纳特拉大道与1街交汇处,南滨水步道-辛纳特拉大道与1街交汇处,11264.0
第7街与门罗街交汇处,南滨水步道-辛纳特拉大道与1街交汇处,1257.0
第7街与门罗街交汇处,第7街与门罗街交汇处,1199.0
南滨水步道-辛纳特拉大道与1街交汇处,哥伦布公园-克林顿街与9街交汇处,1292.0
南滨水步道-辛纳特拉大道与1街交汇处,第11街与华盛顿广场交汇处,4104.0
南滨水步道-辛纳特拉大道与1街交汇处,教堂广场公园-第5街与公园大道交汇处,1183.0
南滨水步道-辛纳特拉大道与1街交汇处,第4街与格兰德街交汇处,1181.0
南滨水步道-辛纳特拉大道与1街交汇处,布鲁姆菲尔德街与第15街交汇处,2189.0
南滨水步道-辛纳特拉大道与1街交汇处,格兰德街与第14街交汇处,1524.0
南滨水步道-辛纳特拉大道与1街交汇处,麦迪逊街与第1街交汇处,1547.0
南滨水步道-辛纳特拉大道与1街交汇处,第14街渡轮站-第14街与船厂巷交汇处,5481.0
南滨水步道-辛纳特拉大道与1街交汇处,威洛大道与第12街交汇处,1042.0
